,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,full_URL,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
36,chicago,Stunning 2 Bed 2 Bath Condo w/ Private Rooftop Deck & Parking Included,2017-03-17 15:32,2.0,,2000.0,6035093017,Jane_Treat_High,https://chicago.craigslist.org/chc/apa/6035093017.html,https://chicago.craigslist.org/reply/chi/apa/6035093017,,
41,chicago,Renovated 1BR  Avail 5/1-HDWD-DW Wellington & Seminary,2017-03-17 15:35,1.0,,1695.0,6042649615,Jane_Treat_Low,https://chicago.craigslist.org/chc/apa/6042649615.html,https://chicago.craigslist.org/reply/chi/apa/6042649615,,
0,chicago,"Vintage 1 Bedroom, 1 Bath in Lakeview, Available: 5/1/2017",2017-03-17 15:46,1.0,800.0,1450.0,6048338619,Jane_Treat_High,https://chicago.craigslist.org/chc/apa/6048338619.html,https://chicago.craigslist.org/reply/chi/apa/6048338619,,
67,chicago,Rental Housing in Chicago IL ... Impressive Home. . .Fantastic Price..,2017-03-17 15:03,2.0,,2550.0,6032046334,Jane_Control,https://chicago.craigslist.org/chc/apa/6032046334.html,https://chicago.craigslist.org/reply/chi/apa/6032046334,,
76,chicago,Walk in closets so big they should be live in closets,2017-03-17 15:25,1.0,,1345.0,6018040696,John_Treat_High,https://chicago.craigslist.org/chc/apa/6018040696.html,https://chicago.craigslist.org/reply/chi/apa/6018040696,,
70,chicago,You need this apartment and you'll just love it!,2017-03-17 15:03,2.0,,2899.0,6040867476,John_Treat_High,https://chicago.craigslist.org/chc/apa/6040867476.html,https://chicago.craigslist.org/reply/chi/apa/6040867476,,
20,chicago,2 BR/1BA CONCRETE LOFT CONDO FOR RENT RIVER NORTH 2500.00 MUST SEE!!,2017-03-17 15:37,2.0,,2500.0,6048324102,Jane_Control,https://chicago.craigslist.org/chc/apa/6048324102.html,https://chicago.craigslist.org/reply/chi/apa/6048324102,,
99,chicago,Apartment meant for a king! Tremendous Apartments!,2017-03-17 14:43,2.0,,2550.0,6035502154,Jane_Treat_High,https://chicago.craigslist.org/chc/apa/6035502154.html,https://chicago.craigslist.org/reply/chi/apa/6035502154,,
113,chicago,Bright Furnished 1 Bed 1 Bath w laundry,2017-03-17 15:20,1.0,,1300.0,6043413552,John_Treat_High,https://chicago.craigslist.org/chc/apa/6043413552.html,https://chicago.craigslist.org/reply/chi/apa/6043413552,,
99,chicago,Walk to the Chicago's Best Nightlife,2017-03-17 15:22,1.0,,1300.0,6016575060,John_Control,https://chicago.craigslist.org/chc/apa/6016575060.html,https://chicago.craigslist.org/reply/chi/apa/6016575060,,
25,chicago,"1 BED - EXPOSED BRICK / BEAM LOFT -HEAT, AC, INTERNET, CABLE INCL",2017-03-17 15:42,1.0,850.0,1900.0,6048319583,John_Treat_Low,https://chicago.craigslist.org/chc/apa/6048319583.html,https://chicago.craigslist.org/reply/chi/apa/6048319583,,
