,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,full_URL,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
48,sandiego,"SHOWING TODAY! 6152 BROOKLYN AVE. SAN DIEGO, CA 92114",2017-03-17 09:49,2.0,,1250.0,6047946279,Jane_Treat_High,https://sandiego.craigslist.org/csd/apa/6047946279.html,https://sandiego.craigslist.org/reply/sdo/apa/6047946279,,
101,sandiego,"2br/1BA - ADELAIDE VILLAS CONDO, GRANITE-STAINLESS-POOL",2017-03-16 17:39,2.0,875.0,1495.0,6040763299,Jane_Treat_High,https://sandiego.craigslist.org/esd/apa/6040763299.html,https://sandiego.craigslist.org/reply/sdo/apa/6040763299,,
119,sandiego,4055 1/2 Estrella Ave,2017-03-17 11:15,1.0,,1100.0,6048095779,Jane_Treat_High,https://sandiego.craigslist.org/csd/apa/6048095779.html,https://sandiego.craigslist.org/reply/sdo/apa/6048095779,,
32,sandiego,Gorgeous 1-Bedroom Ready For Immediate Move In!,2017-03-17 12:50,1.0,700.0,1339.0,6048252163,Jane_Treat_High,https://sandiego.craigslist.org/esd/apa/6048252163.html,https://sandiego.craigslist.org/reply/sdo/apa/6048252163,,
42,sandiego,Crown Point - 2 blocks to bay! 2Br/1Ba,2017-03-17 11:51,2.0,975.0,2999.0,6048156828,Jane_Treat_High,https://sandiego.craigslist.org/csd/apa/6048156828.html,https://sandiego.craigslist.org/reply/sdo/apa/6048156828,,
84,sandiego,"Tour next week lovely 1 bd neara Buccaneer Beach, call now!",2017-03-17 11:31,1.0,700.0,1450.0,6048112194,Jane_Treat_High,https://sandiego.craigslist.org/nsd/apa/6048112194.html,https://sandiego.craigslist.org/reply/sdo/apa/6048112194,,
6,sandiego,ONE BED IN SECURE HIGH RISE BLDG,2017-03-17 13:35,1.0,475.0,1200.0,6034036798,Jane_Treat_High,https://sandiego.craigslist.org/ssd/apa/6034036798.html,https://sandiego.craigslist.org/reply/sdo/apa/6034036798,,
1,sandiego,"Playground, Tranquil Courtyards, Resident Clubhouse",2017-03-17 13:51,1.0,655.0,1433.0,6036643867,Jane_Treat_High,https://sandiego.craigslist.org/ssd/apa/6036643867.html,https://sandiego.craigslist.org/reply/sdo/apa/6036643867,,
37,sandiego,"Historic 2BR/2BA, 1,800 sqft Bankers Hill Gem with View",2017-03-16 17:30,2.0,1800.0,3500.0,6047197148,Jane_Treat_High,https://sandiego.craigslist.org/csd/apa/6047197148.html,https://sandiego.craigslist.org/reply/sdo/apa/6047197148,,
6,sandiego,"POINT LOMA HOUSE- 1BR, 1B",2017-03-17 13:50,1.0,,2000.0,6048344504,Jane_Treat_High,https://sandiego.craigslist.org/csd/apa/6048344504.html,https://sandiego.craigslist.org/reply/sdo/apa/6048344504,,
94,sandiego,"Spacious layout, minutes from all your favorite spots  & WE LOVE PETS",2017-03-17 11:26,1.0,,1195.0,6035178756,Jane_Treat_High,https://sandiego.craigslist.org/esd/apa/6035178756.html,https://sandiego.craigslist.org/reply/sdo/apa/6035178756,,
81,sandiego,Incredible unit downtown San Diego!!,2017-03-16 14:57,2.0,1350.0,3500.0,6047016610,Jane_Treat_High,https://sandiego.craigslist.org/csd/apa/6047016610.html,https://sandiego.craigslist.org/reply/sdo/apa/6047016610,,
101,sandiego,"2nd level unit, close to the beach and the I-5 freeway in Oceanside!",2017-03-17 11:24,1.0,500.0,1075.0,6048111050,Jane_Treat_High,https://sandiego.craigslist.org/nsd/apa/6048111050.html,https://sandiego.craigslist.org/reply/sdo/apa/6048111050,,
