,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,full_URL,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
95,seattle,"Our Largest, Brand New 2 Bedroom, 2 Bath! Over 1000sf!",2017-03-16 13:30,2.0,1002.0,3186.0,6046893830,Jane_Treat_Low,https://seattle.craigslist.org/see/apa/6046893830.html,https://seattle.craigslist.org/reply/sea/apa/6046893830,,
82,seattle,Two Bedroom Two Bath for Late April Move In,2017-03-17 09:22,2.0,939.0,2869.0,6047898416,Jane_Treat_Low,https://seattle.craigslist.org/see/apa/6047898416.html,https://seattle.craigslist.org/reply/sea/apa/6047898416,,
117,seattle,Call Lower Queen Anne your home in this cozy 1 bedroom home,2017-03-17 12:45,1.0,491.0,1933.0,6048229496,John_Treat_High,https://seattle.craigslist.org/see/apa/6048229496.html,https://seattle.craigslist.org/reply/sea/apa/6048229496,,
106,seattle,Gorgeous 1 bedroom with lots of kitchen space and washer/Dryer!,2017-03-17 12:47,1.0,814.0,1852.0,6048246846,Jane_Treat_High,https://seattle.craigslist.org/est/apa/6048246846.html,https://seattle.craigslist.org/reply/sea/apa/6048246846,,
26,seattle,Welcome Home to Brackett,2017-03-17 13:22,1.0,515.0,1419.0,6041098188,Jane_Control,https://seattle.craigslist.org/sno/apa/6041098188.html,https://seattle.craigslist.org/reply/sea/apa/6041098188,,
103,seattle,TRUAIRE! HEALTHY SMOKE FREE LIVING! 2BR,2017-03-17 12:09,2.0,,1020.0,6045258952,Jane_Treat_High,https://seattle.craigslist.org/tac/apa/6045258952.html,https://seattle.craigslist.org/reply/sea/apa/6045258952,,
36,seattle,"Playground, Professional on-site management, Renovated interiors",2017-03-17 13:19,1.0,828.0,1265.0,6038314909,John_Control,https://seattle.craigslist.org/skc/apa/6038314909.html,https://seattle.craigslist.org/reply/sea/apa/6038314909,,
71,seattle,Luxury 2Bd 2Ba Available for Immediate Move In!  E-102,2017-03-17 12:36,2.0,898.0,1525.0,6048186313,John_Treat_High,https://seattle.craigslist.org/skc/apa/6048186313.html,https://seattle.craigslist.org/reply/sea/apa/6048186313,,
39,seattle,COME IN AND TOUR TODAY!!! ASK ABOUT $1000 OFF AND LOWERED PRICES!!!,2017-03-17 13:16,1.0,662.0,1065.0,6048293515,Jane_Control,https://seattle.craigslist.org/tac/apa/6048293515.html,https://seattle.craigslist.org/reply/sea/apa/6048293515,,
16,seattle,$800 Amazon Gift Card.,2017-03-17 13:32,1.0,,1195.0,6048316898,John_Treat_High,https://seattle.craigslist.org/see/apa/6048316898.html,https://seattle.craigslist.org/reply/sea/apa/6048316898,,
55,seattle,Look & lease this one bedroom today! move in ready!,2017-03-17 13:11,1.0,600.0,1259.0,6048284638,John_Control,https://seattle.craigslist.org/skc/apa/6048284638.html,https://seattle.craigslist.org/reply/sea/apa/6048284638,,
50,seattle,Top Floor with Amazing View of Downtown Seattle and a Deck!,2017-03-17 12:47,1.0,691.0,2425.0,6042730239,Jane_Treat_Low,https://seattle.craigslist.org/see/apa/6042730239.html,https://seattle.craigslist.org/reply/sea/apa/6042730239,,
95,seattle,"Already St Patricks day, need an apartment? Apply today!",2017-03-17 12:49,1.0,908.0,1315.0,6048250724,Jane_Treat_Low,https://seattle.craigslist.org/sno/apa/6048250724.html,https://seattle.craigslist.org/reply/sea/apa/6048250724,,
19,seattle,"Wood style or concrete flooring, Gated parking garage, Washer/Dryer",2017-03-17 12:29,2.0,907.0,2795.0,6045345536,Jane_Control,https://seattle.craigslist.org/tac/apa/6045345536.html,https://seattle.craigslist.org/reply/sea/apa/6045345536,,
111,seattle,Gorgeous & Prestine Craftsman-style Houseboat in Eastlake!,2017-03-15 08:28,2.0,1100.0,3950.0,6044979482,John_Treat_High,https://seattle.craigslist.org/see/apa/6044979482.html,https://seattle.craigslist.org/reply/sea/apa/6044979482,,
26,seattle,"Beautiful Spacious Homes, Newly Remodeled Community",2017-03-17 12:51,2.0,817.0,2307.0,6048253588,Jane_Treat_Low,https://seattle.craigslist.org/see/apa/6048253588.html,https://seattle.craigslist.org/reply/sea/apa/6048253588,,
22,seattle,Live in Luxury! UPDATED Condo steps away from Green Lake and restauran,2017-03-17 11:43,2.0,1707.0,3500.0,6032283827,John_Treat_Low,https://seattle.craigslist.org/see/apa/6032283827.html,https://seattle.craigslist.org/reply/sea/apa/6032283827,,
78,seattle,"Great Location, Hardwood Throughout, Modern Finishes",2017-03-17 12:58,1.0,600.0,1395.0,6045390492,John_Control,https://seattle.craigslist.org/see/apa/6045390492.html,https://seattle.craigslist.org/reply/sea/apa/6045390492,,
77,seattle,"Easy Access To Shopping, Dining, Boeing, Freeways!  $1449",2017-03-17 12:58,2.0,984.0,1449.0,6048264598,John_Treat_High,https://seattle.craigslist.org/sno/apa/6048264598.html,https://seattle.craigslist.org/reply/sea/apa/6048264598,,
10,seattle,Looking to move in June? We have one for you! Great 2 bedr 1 bath!,2017-03-17 13:35,2.0,920.0,1445.0,6029779860,John_Control,https://seattle.craigslist.org/sno/apa/6029779860.html,https://seattle.craigslist.org/reply/sea/apa/6029779860,,
