,Listing_Title,Posting_Date,city,posting_ID,full_URL,Bedrooms,Sqft,Price,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN
98,"NEWLY REMODELED TOP FLOOR UNIT w/parking, laundry, yard & more",2017-02-20 13:55,sanfrancisco,6012280642,https://sfbay.craigslist.org/sfc/apa/6012280642.html,1.0,,2495.0,https://sfbay.craigslist.org/reply/sfo/apa/6012280642,
99,Bright Remodeled Corner Apt w/ Gourmet Kitchen and HW! ~ J.Wavro,2017-02-20 13:51,sanfrancisco,6012273769,https://sfbay.craigslist.org/sfc/apa/6012273769.html,1.0,,2295.0,https://sfbay.craigslist.org/reply/sfo/apa/6012273769,
0,2 Rooms (One Big & One Smaller),2017-02-22 05:52,sanfrancisco,6012234056,https://sfbay.craigslist.org/sfc/apa/6012234056.html,2.0,,2950.0,https://sfbay.craigslist.org/reply/sfo/apa/6012234056,
1,new apt for rent,2017-02-22 05:23,sanfrancisco,6014491047,https://sfbay.craigslist.org/sfc/apa/6014491047.html,1.0,,3000.0,https://sfbay.craigslist.org/reply/sfo/apa/6014491047,
2,"2 BR/2 BATH on Taraval St w/ lots of closets near Muni, Library, shops",2017-02-22 04:24,sanfrancisco,6009784103,https://sfbay.craigslist.org/sfc/apa/6009784103.html,2.0,1200.0,3000.0,https://sfbay.craigslist.org/reply/sfo/apa/6009784103,
3,"❉❉❉ Sleek, Fresh, Bright and Newly Redone Two Bedroom",2017-02-22 02:44,sanfrancisco,6004270711,https://sfbay.craigslist.org/sfc/apa/6004270711.html,1.0,600.0,2900.0,https://sfbay.craigslist.org/reply/sfo/apa/6004270711,
4,❉❉❉ Fresh - Sunny Top Floor 2 Bedroom - New Kitchen,2017-02-22 02:43,sanfrancisco,5998762841,https://sfbay.craigslist.org/sfc/apa/5998762841.html,2.0,500.0,2600.0,https://sfbay.craigslist.org/reply/sfo/apa/5998762841,
5,Marina One Bedroom - Newly Remodeled,2017-02-22 01:23,sanfrancisco,6014402620,https://sfbay.craigslist.org/sfc/apa/6014402620.html,1.0,,2800.0,https://sfbay.craigslist.org/reply/sfo/apa/6014402620,
6,1 large private bedroom & bath in 1500 sq foot AWESOME condo,2017-02-22 00:39,sanfrancisco,6014391394,https://sfbay.craigslist.org/sfc/apa/6014391394.html,1.0,1498.0,2500.0,https://sfbay.craigslist.org/reply/sfo/apa/6014391394,
7,"LOWER NOB HILL 1 BEDROOM / HARDWOOD, BIG WINDOWS, SPACIOUS",2017-02-21 22:44,sanfrancisco,6014355042,https://sfbay.craigslist.org/sfc/apa/6014355042.html,1.0,,2795.0,https://sfbay.craigslist.org/reply/sfo/apa/6014355042,
8,Large 1 br/remodeled/furnished/available April,2017-02-21 22:28,sanfrancisco,6014343274,https://sfbay.craigslist.org/sfc/apa/6014343274.html,1.0,1000.0,2500.0,https://sfbay.craigslist.org/reply/sfo/apa/6014343274,
9,Great Location 1 Bedroom Apartment,2017-02-21 22:28,sanfrancisco,6014348386,https://sfbay.craigslist.org/sfc/apa/6014348386.html,1.0,650.0,2550.0,https://sfbay.craigslist.org/reply/sfo/apa/6014348386,
10,"Look at the Sqft! Corner Location, Downtown, W/D, Central A/C",2017-02-21 22:13,sanfrancisco,6002677846,https://sfbay.craigslist.org/sfc/apa/6002677846.html,3.0,1466.0,3000.0,https://sfbay.craigslist.org/reply/sfo/apa/6002677846,
11,"SPACIOUS LIVING IN LOWER HAIGHT -- 1 BR  $2,950 Mo",2017-02-21 21:53,sanfrancisco,6014332001,https://sfbay.craigslist.org/sfc/apa/6014332001.html,1.0,650.0,2950.0,https://sfbay.craigslist.org/reply/sfo/apa/6014332001,
12,Roommate Wanted - Master Bedroom in Mission Bay,2017-02-21 21:50,sanfrancisco,6014330316,https://sfbay.craigslist.org/sfc/apa/6014330316.html,2.0,1150.0,2600.0,https://sfbay.craigslist.org/reply/sfo/apa/6014330316,
13,Quiet 2 Br/1 Ba In-Law in Lake District Location Near Public Transport,2017-02-21 21:48,sanfrancisco,5985929130,https://sfbay.craigslist.org/sfc/apa/5985929130.html,2.0,,2650.0,https://sfbay.craigslist.org/reply/sfo/apa/5985929130,
14,"2 Bed - 2.5 Bath, On-Site Maintenance, Near Los Gatos Creek Trail",2017-02-21 21:47,sanfrancisco,6005212006,https://sfbay.craigslist.org/sfc/apa/6005212006.html,2.0,1040.0,2970.0,https://sfbay.craigslist.org/reply/sfo/apa/6005212006,
15,1 large bedroom @ Pearl St & Duboce Ave,2017-02-21 21:16,sanfrancisco,5994206242,https://sfbay.craigslist.org/sfc/apa/5994206242.html,1.0,,3000.0,https://sfbay.craigslist.org/reply/sfo/apa/5994206242,
16,2 BEDROOM + MEDIA ROOM/ 1BATH SHORT TERM OK,2017-02-21 21:06,sanfrancisco,6014302485,https://sfbay.craigslist.org/sfc/apa/6014302485.html,3.0,,2800.0,https://sfbay.craigslist.org/reply/sfo/apa/6014302485,
17,"Sunny, top floor, 1 Bdrm - 1 Bath Marina Apartment",2017-02-21 20:59,sanfrancisco,6004177165,https://sfbay.craigslist.org/sfc/apa/6004177165.html,1.0,475.0,2600.0,https://sfbay.craigslist.org/reply/sfo/apa/6004177165,
18,Spacious North Beach 1BD Secure Gated Pretty Property Parking Included,2017-02-21 20:44,sanfrancisco,6011056055,https://sfbay.craigslist.org/sfc/apa/6011056055.html,1.0,700.0,2995.0,https://sfbay.craigslist.org/reply/sfo/apa/6011056055,
19,AMAZING 2 bedroom 1 bath home walking distance from the beach!,2017-02-21 20:19,sanfrancisco,5995882047,https://sfbay.craigslist.org/sfc/apa/5995882047.html,2.0,,3000.0,https://sfbay.craigslist.org/reply/sfo/apa/5995882047,
20,1 Bed***Top Floor***Hardwood Floors***Free Parking********************,2017-02-21 19:56,sanfrancisco,6014247484,https://sfbay.craigslist.org/sfc/apa/6014247484.html,1.0,,2795.0,https://sfbay.craigslist.org/reply/sfo/apa/6014247484,
21,TELEGRAPH HILL GRAND VIEW!,2017-02-21 19:52,sanfrancisco,5994315092,https://sfbay.craigslist.org/sfc/apa/5994315092.html,1.0,,2700.0,https://sfbay.craigslist.org/reply/sfo/apa/5994315092,
22,1br.--FURN or UNFUR  Top Floor * Bay View,2017-02-21 19:52,sanfrancisco,6009873238,https://sfbay.craigslist.org/sfc/apa/6009873238.html,1.0,,2700.0,https://sfbay.craigslist.org/reply/sfo/apa/6009873238,
