,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
101,chicago,"Great Rehab w/ Hardwood! Pets OK. Metra 3 Blocks, Brown 5 Blocks!",2017-03-17 15:22,1.0,,1250.0,6048301736,John_Treat_Low,,
104,chicago,"Modern Kitchen, Deck & Hardwood! 5 Blocks to Brown. Heat Incl!",2017-03-17 15:21,1.0,,1125.0,6048301041,John_Control,,
22,chicago,Large Renovated 1BR-HDWD-Dishwasher Avail. NOW-3720 N. Pine Grove,2017-03-17 15:37,1.0,,1195.0,6033478159,John_Treat_Low,,
71,chicago,Beautful Courtyard in Edgewater has one bdrm w/FREE HEAT,2017-03-17 15:28,1.0,900.0,1200.0,6036491564,Jane_Control,,
71,chicago,Stunning 2 Bed 2 Bath Condo w/ Private Rooftop Deck & Parking Included,2017-03-17 15:25,2.0,,2000.0,6026653485,Jane_Treat_Low,,
16,chicago,NEW REHABBED 1Bed 1Bath Apartment Steps from the Lake and Foster Beach,2017-03-17 15:40,1.0,,1300.0,6048329433,Jane_Treat_Low,,
12,chicago,River North 1 Bedroom ~ Basketball ~ Gym ~ Great Location!!!!!,2017-03-17 15:44,1.0,,2341.0,6031462803,John_Control,,
38,chicago,Stunning 2 Bed 2 Bath Condo w/ Private Rooftop Deck & Parking Included,2017-03-17 15:31,2.0,,2000.0,6031836565,Jane_Treat_Low,,
88,chicago,Gorgeous Renovated PENTHOUSE apartment,2017-03-17 15:15,2.0,,2240.0,6048282677,Jane_Control,,
26,chicago,Buena Park 1 Bedroom ~ Balcony ~ Hardwood ~ Pet Friendly ~ SS ~Granite,2017-03-17 15:41,1.0,840.0,1680.0,6023432811,Jane_Treat_High,,
31,chicago,Stunning Penthouse 2 Bed 2 Bath Condo w/ Private Rooftop Deck,2017-03-17 15:32,2.0,,2000.0,6035073598,Jane_Treat_Low,,
96,chicago,Upgrade your lifestyle. Inexpensive with great character!,2017-03-17 15:26,1.0,,1650.0,6038182650,Jane_Treat_High,,
60,chicago,"NEW TO MARKET! 2bd/2ba CONDO-granite,Lincoln Park,5/1",2017-03-17 15:07,2.0,,2925.0,6036685568,Jane_Control,,
54,chicago,Fantastic Location in Evanston! 1BR-HDWD-Pet Friendly -1134-44 Maple,2017-03-17 15:30,1.0,,1350.0,6026798295,Jane_Treat_High,,
103,chicago,2 Br 2Ba on Hi Floor in Streeterville! NW corner unit!,2017-03-17 12:01,2.0,1103.0,3780.0,6047951112,Jane_Treat_High,,
35,chicago,Spacious Updated Edgewater 1 Bed Condo w/ Dishwasher!,2017-03-17 15:34,1.0,,1300.0,6035110390,John_Treat_High,,
11,chicago,"Condo quality 1 bed: HWF, Granite, close to cta/grocery. 1.5 baths",2017-03-17 15:43,1.0,,1735.0,6005226131,John_Control,,
13,chicago,Gold Coast 2 Bedroom 2 Bathroom ~ Pet Friendly ~ Dishwasher ~ Dog Park,2017-03-17 15:43,2.0,,2850.0,6031366740,Jane_Treat_High,,
102,chicago,All your demands will be fully satisfied in this well located rental!,2017-03-17 15:16,1.0,,2149.0,6033511430,John_Treat_Low,,
90,chicago,Rent a new spot closer to your work.,2017-03-17 15:20,1.0,,2149.0,6024905444,Jane_Treat_High,,
73,chicago,Two Bedroom in Loop,2017-03-17 15:00,2.0,,2849.0,6048240500,Jane_Treat_High,,
67,chicago,NEW OLD TOWN 2 BED / 2 BATH -- W/D and HWD,2017-03-17 14:00,2.0,,3063.0,6044575302,John_Treat_Low,,
111,chicago,"Outdoor pool, Lots of closets, Carpet in bedrooms",2017-03-17 14:54,2.0,770.0,1225.0,6048186803,John_Treat_High,,
106,chicago,Incredible find!,2017-03-17 15:21,1.0,,1345.0,6042562144,John_Treat_High,,
119,chicago,"LAKESHORE EAST SERENITY/2 BED / 2 BATH - GRANITE, SS, GAS RANGE, W/D",2017-03-17 14:24,2.0,,2718.0,6044472724,John_Treat_High,,
26,chicago,ALL NEW OUTSTANDING LINCOLN PARK LOCATION,2017-03-17 15:28,2.0,1400.0,2550.0,6038604059,Jane_Treat_High,,
30,chicago,***YOU NEED TO SEE THIS BREATHTAKING 2 BED / 2 BATH APARTMENT HOME***,2017-03-17 15:34,2.0,,1750.0,6029048165,John_Treat_Low,,
55,chicago,WOW SUPER GREAT 2 BED* MODERN UP DATED KIT W DISH/WASH* BACK PATIO,2017-03-17 15:29,2.0,,1850.0,6048311658,John_Control,,
10,chicago,Bright and Beautiful One Bedroom Apartment In Logan Square,2017-03-17 15:43,1.0,,1295.0,6032503936,Jane_Treat_Low,,
