,Bedrooms,Listing_Title,Posting_Date,Price,Reply_contact_info_link,Sqft,city,full_URL,posting_ID
18,2.0,BRAND NEW RENOVATED TWO BEDROOM APARTMENT!,2017-03-17 13:31,1275.0,https://seattle.craigslist.org/reply/sea/apa/6045363299,950.0,seattle,https://seattle.craigslist.org/tac/apa/6045363299.html,6045363299
20,2.0,Don't Miss Out!! Lease Your New Home Today!!,2017-03-17 13:28,1275.0,https://seattle.craigslist.org/reply/sea/apa/6048310088,880.0,seattle,https://seattle.craigslist.org/skc/apa/6048310088.html,6048310088
27,2.0,$1000 OFF ANY WAY YOU WANT IT!!! NEWLY LOWERED PRICES!!!,2017-03-17 13:22,1185.0,https://seattle.craigslist.org/reply/sea/apa/6048301502,935.0,seattle,https://seattle.craigslist.org/tac/apa/6048301502.html,6048301502
28,2.0,"All bout' Saving the ""Green""...Look & Lease $99. Off NR Deposit!*",2017-03-17 13:22,1150.0,https://seattle.craigslist.org/reply/sea/apa/6028574676,950.0,seattle,https://seattle.craigslist.org/kit/apa/6028574676.html,6028574676
29,2.0,TITLOW BEACH AROUND THE CORNER!!! $1000 OFF ANY WAY YOU WANT IT!!!,2017-03-17 13:21,1155.0,https://seattle.craigslist.org/reply/sea/apa/6048300958,944.0,seattle,https://seattle.craigslist.org/tac/apa/6048300958.html,6048300958
30,2.0,HEY!!! WE'VE GOT SOME PRETTY GOOD DEALS RIGHT HERE!!! $200 OFF!!!,2017-03-17 13:21,1205.0,https://seattle.craigslist.org/reply/sea/apa/6022629023,958.0,seattle,https://seattle.craigslist.org/tac/apa/6022629023.html,6022629023
31,2.0,CLOSE TO JBLM!!! ASK ABOUT $1000 OFF AND LOWERED PRICES!!!,2017-03-17 13:21,1150.0,https://seattle.craigslist.org/reply/sea/apa/6048299849,856.0,seattle,https://seattle.craigslist.org/tac/apa/6048299849.html,6048299849
32,2.0,"Gas fireplaces, 2-story floor plans , Fitness center",2017-03-17 13:20,1395.0,https://seattle.craigslist.org/reply/sea/apa/6048284882,1144.0,seattle,https://seattle.craigslist.org/tac/apa/6048284882.html,6048284882
40,2.0,BE THE FIRST TO LIVE IN THIS APARTMENT!!!!,2017-03-17 13:15,1500.0,https://seattle.craigslist.org/reply/sea/apa/6048292046,983.0,seattle,https://seattle.craigslist.org/see/apa/6048292046.html,6048292046
44,2.0,Andorra has What You Are Looking For!  Make Your Appointment Now!,2017-03-17 13:14,1399.0,https://seattle.craigslist.org/reply/sea/apa/6048289918,1000.0,seattle,https://seattle.craigslist.org/sno/apa/6048289918.html,6048289918
52,2.0,WELCOME HOME TO WHERE YOU BELONG!!! LOWEST RENT IN SILVERDALE!!!,2017-03-17 13:12,1153.0,https://seattle.craigslist.org/reply/sea/apa/6019594840,776.0,seattle,https://seattle.craigslist.org/kit/apa/6019594840.html,6019594840
53,2.0,"Right Around the Corner, Near Everywhere You Want to Be.",2017-03-17 13:12,1465.0,https://seattle.craigslist.org/reply/sea/apa/6036455007,976.0,seattle,https://seattle.craigslist.org/skc/apa/6036455007.html,6036455007
58,2.0,We are holding this amazing 2 bed 1 bath home just for you!,2017-03-17 13:10,1360.0,https://seattle.craigslist.org/reply/sea/apa/6048283342,840.0,seattle,https://seattle.craigslist.org/skc/apa/6048283342.html,6048283342
59,2.0,Upstairs 2 bed/1 bath Apt $1250,2017-03-17 13:09,1250.0,https://seattle.craigslist.org/reply/sea/apa/6040966392,800.0,seattle,https://seattle.craigslist.org/sno/apa/6040966392.html,6040966392
63,2.0,"Upgraded Homes, New Flooring, Satin Nickel Fixtures!",2017-03-17 13:08,1345.0,https://seattle.craigslist.org/reply/sea/apa/6045342459,792.0,seattle,https://seattle.craigslist.org/see/apa/6045342459.html,6045342459
